psoda,prpblck,income,prppov,hseval
1.12,17.11542,44534,3.65789,148300
1.06,17.11542,44534,3.65789,148300
1.06,4.73602,41164,8.79072,169200
1.12,5.28394,50366,5.91227,171600
1.12,3.448,72287,2.54145,249100
1.06,5.91327,44515,8.35001,148000
1.17,1.86773,62056,2.92349,212700
1.17,0.4906,53655,3.37599,198800
1.18,92.10559,31314,20.36816,103800
1.17,92.10559,31314,20.36816,103800
1.06,92.10559,31314,20.36816,103800
1.06,92.10559,31314,20.36816,103800
1.05,92.10559,31314,20.36816,103800
1.17,1.39109,38569,8.45399,191300
1.15,1.02124,60657,5.98162,282800
1.27,1.02124,60657,5.98162,282800
1.06,0.60904,47891,3.86507,167700
1.06,0.35406,36705,11.18771,138000
1.06,1.04519,43022,6.08489,166500
1.2,0.73866,79025,1.35908,245400
0.95,0.73866,79025,1.35908,245400
1.11,12.0063,65296,3.22987,198800
1.02,43.36102,56893,7.65275,245900
1.06,2.2127,40719,9.27505,173500
1.27,2.2127,40719,9.27505,173500
1.17,69.63651,33306,16.11239,119300
1.18,5.57306,59266,4.03421,201600
1.06,5.57306,59266,4.03421,201600
1.17,3.23523,57424,2.6696,218600
1.06,3.23523,57424,2.6696,218600
1.12,3.23523,57424,2.6696,218600
1.1,20.46583,30877,16.91744,163000
1.1,0.50961,82797,0.85349,292400
1.06,35.98951,47738,9.31701,175600
1.06,35.98951,47738,9.31701,175600
1.12,35.98951,47738,9.31701,175600
0.96,63.6803,48209,8.16689,142300
1.12,0.48807,53961,1.82062,196500
1.06,0.48807,53961,1.82062,196500
1.1,3.19843,55878,3.67507,209100
1.18,3.19843,55878,3.67507,209100
1.09,0.46135,47113,3.8405,174600
1.01,0.32339,41196,2.3415,186800
1.12,13.1472,62927,1.82582,205000
1.07,1.31481,136529,1.55316,473400
1.06,6.68875,54216,2.78037,161300
1.02,6.68875,54216,2.78037,161300
1.02,3.18239,58339,2.57156,216500
1.06,3.62969,50968,3.34931,176800
1.02,3.62969,50968,3.34931,176800
1.06,3.62969,50968,3.34931,176800
1.06,4.85866,29319,16.76967,165400
1.17,4.85866,29319,16.76967,165400
1.06,4.24391,76689,1.65798,248500
0.96,3.92887,30587,15.83852,160300
1.17,2.35403,59397,5.18435,210800
1.12,4.22394,48350,4.74361,155300
1.06,4.22394,48350,4.74361,155300
1.02,65.99238,20323,32.92359,132300
1.06,89.91615,15919,41.84797,71100
1.06,21.4263,24773,27.03646,146800
1.12,21.4263,24773,27.03646,146800
1.05,6.27508,32241,14.46121,117600
1.06,6.27508,32241,14.46121,117600
1.06,45.54334,24189,27.22042,95400
1.06,45.54334,24189,27.22042,95400
1.18,96.24618,21790,32.79841,81300
1.12,3.5449,44883,5.16433,161800
1.06,3.5449,44883,5.16433,161800
1.02,1.44769,51451,4.9851,185300
1.06,69.82505,35832,12.37119,116600
1.06,37.24901,28417,19.34995,117300
1.19,37.24901,28417,19.34995,117300
0.91,8.81337,31887,13.46107,133700
1.27,38.65509,46803,5.04637,139500
1.06,0.67308,50665,3.34977,159800
1.06,40.58144,46966,6.00893,138500
1.27,11.15545,37367,10.91816,167200
0.91,11.15545,37367,10.91816,167200
1.17,47.66138,29740,23.63158,123400
1.06,47.66138,29740,23.63158,123400
1.19,53.31899,35731,15.97511,124600
1.17,53.31899,35731,15.97511,124600
1.06,15.20273,30577,20.41798,116000
1.06,15.20273,30577,20.41798,116000
1.06,4.62981,34443,15.092,131800
1.06,4.62981,34443,15.092,131800
1.06,0.39605,64818,2.62524,222500
1.04,0.0751,42755,6.39788,128200
1.12,1.66947,51848,3.44314,190900
1.06,1.66947,51848,3.44314,190900
1.27,3.1873,64367,3.5029,275900
1.27,0,56380,3.61626,217400
1.06,0,56380,3.61626,217400
1.02,1.15862,66569,1.52639,215100
1.06,0.47325,61487,2.77091,203100
1.06,0.99893,65000,2.29062,241800
1.06,0.99893,65000,2.29062,241800
1.06,0.99893,65000,2.29062,241800
1.17,0.99893,65000,2.29062,241800
1.06,0.99893,65000,2.29062,241800
1.06,0.99893,65000,2.29062,241800
1.06,36.94827,21978,28.51345,107000
1.17,54.22576,31639,12.85608,142200
1.06,48.59012,26039,22.14113,111100
1.12,24.98173,46255,6.98492,186900
1.17,24.98173,46255,6.98492,186900
1.12,24.98173,46255,6.98492,186900
1.1,24.98173,46255,6.98492,186900
1.17,0.66904,52919,2.50457,204700
1.12,0.66904,52919,2.50457,204700
1.06,1.96445,44018,6.04782,195200
1.02,1.96445,44018,6.04782,195200
1.2,3.94043,51288,3.31476,183500
1.06,1.24784,67716,1.80528,270800
1.12,3.08927,51561,4.39196,185100
1.06,2.82081,40760,6.12684,176500
1.06,1.25818,53168,2.2337,207300
1.06,0.24702,66939,2.17573,276300
0.95,0.44543,62509,3.03532,245400
1.12,0.44543,62509,3.03532,245400
1.06,0.44543,62509,3.03532,245400
1.06,1.05846,68286,2.53538,253200
1.17,0.83144,51257,3.64397,190800
1.07,0.83144,51257,3.64397,190800
0.95,31.73136,40656,13.01452,179600
1.18,31.73136,40656,13.01452,179600
1.1,3.31428,47994,3.97589,170000
1.06,15.91312,45771,3.76937,165500
1.12,15.91312,45771,3.76937,165500
0.91,15.91312,45771,3.76937,165500
1.06,15.91312,45771,3.76937,165500
1.06,15.91312,45771,3.76937,165500
1.02,3.17188,62194,2.54828,217800
1.06,8.01578,57697,3.55372,176500
0.95,8.01578,57697,3.55372,176500
1.12,0.9186,58039,2.49824,168300
1.06,0.9186,58039,2.49824,168300
0.91,0.9186,58039,2.49824,168300
1.06,2.6525,53795,3.42552,163600
0.91,2.6525,53795,3.42552,163600
1.06,4.97413,42361,5.02388,128600
0.91,4.97413,42361,5.02388,128600
1.06,19.62366,35277,14.56063,147600
0.91,4.28778,60606,2.92281,176400
1.12,4.28778,60606,2.92281,176400
1.1,1.47634,71621,1.62512,226400
1.06,30.15262,46272,6.42415,136700
1.09,0.48832,55917,1.48394,178400
1.12,0.48832,55917,1.48394,178400
1.06,5.70457,46700,6.15117,161000
1.06,0.1765,63257,2.00583,185500
0.85,1.15167,50708,3.3978,164400
0.99,1.15167,50708,3.3978,164400
1.09,1.18611,50628,3.756,150900
0.92,1.18611,50628,3.756,150900
0.98,1.11902,46472,4.40123,176600
0.95,1.11902,46472,4.40123,176600
1.16,0.69724,51675,4.17686,156400
1.06,0.69724,51675,4.17686,156400
1.2,1.18201,60286,2.34509,179900
1.19,0.02623,68602,1.39455,189300
1.06,1.59579,65305,1.97356,211400
1.12,1.59579,65305,1.97356,211400
1.06,1.60904,48925,4.23467,146100
1.12,0.13975,82084,1.31476,314000
1.12,0.9611,80548,1.80639,318100
1.06,0.9611,80548,1.80639,318100
0.91,0.60498,72638,2.07022,256600
1.23,0.61889,71806,2.24756,235000
1,4.30108,65431,3.79497,247900
1.12,12.9479,72920,4.66379,283100
1.06,12.9479,72920,4.66379,283100
1.02,4.14442,51022,3.60678,129900
1.02,4.14442,51022,3.60678,129900
1.12,4.14442,51022,3.60678,129900
1.06,10.58741,43470,6.2553,114800
0.95,10.58741,43470,6.2553,114800
1.02,10.58741,43470,6.2553,114800
0.95,20.13907,45443,5.3199,109700
1.06,3.99834,48574,2.87831,110200
1.06,3.99834,48574,2.87831,110200
1.02,3.99834,48574,2.87831,110200
0.95,3.99834,48574,2.87831,110200
0.95,20.1043,41440,6.84898,110900
1.06,20.1043,41440,6.84898,110900
1.06,10.95007,40050,6.59936,88300
0.95,10.95007,40050,6.59936,88300
1.02,4.58751,42176,4.65341,98000
1.06,19.53666,39672,13.88848,95700
1.06,19.53666,39672,13.88848,95700
0.95,19.53666,39672,13.88848,95700
1.06,0.26281,35682,8.49037,64700
0.95,1.08808,39207,4.34402,88800
1.02,1.08808,39207,4.34402,88800
1.06,2.92064,54981,2.59011,138700
1.02,2.92064,54981,2.59011,138700
1.18,5.50422,39345,7.35619,96300
1,5.50422,39345,7.35619,96300
0.9,6.44616,61835,3.65812,170700
0.95,6.44616,61835,3.65812,170700
0.91,98.16579,41429,9.763,81500
1.07,55.97082,48741,4.44408,95100
1.06,55.97082,48741,4.44408,95100
1.02,17.35384,37575,7.25547,87900
1.06,0.19082,34714,6.7086,132200
1.06,0.19082,34714,6.7086,132200
1.06,5.75308,39509,2.82084,95000
1.12,2.95152,55878,2.20388,145300
0.95,6.06916,57055,2.02933,148900
1.06,6.06916,57055,2.02933,148900
0.95,0.47142,63989,2.34694,188900
0.96,0.47142,63989,2.34694,188900
0.91,5.32435,64903,2.89966,190400
0.95,12.3247,47996,6.32239,113200
0.95,12.3247,47996,6.32239,113200
0.91,21.20887,31348,14.7196,69000
1.05,0.78827,43628,5.5336,87900
1.06,0.78827,43628,5.5336,87900
1.02,4.67958,44778,3.36062,115700
1.02,4.7774,53455,2.48612,144800
1.06,27.84675,32360,18.7528,69800
0.96,4.68705,42893,6.13623,87800
0.95,5.60676,57178,4.56208,130300
1.02,11.4207,39756,6.98809,95600
1.06,11.4207,39756,6.98809,95600
1.12,9.11294,42022,7.62732,95800
0.85,9.11294,42022,7.62732,95800
1.06,9.11294,42022,7.62732,95800
0.95,7.03755,49700,5.23969,109700
0.95,7.03755,49700,5.23969,109700
0.95,61.56687,20216,32.44063,33900
1.02,47.16138,19931,33.82175,35500
0.95,0.75611,45405,3.24015,100300
1.02,20.8941,36921,7.66652,80100
0.95,20.8941,36921,7.66652,80100
1.02,20.8941,36921,7.66652,80100
1.02,20.8941,36921,7.66652,80100
0.95,20.8941,36921,7.66652,80100
1.01,7.02827,46469,3.43892,114800
1.26,7.02827,46469,3.43892,114800
1.12,7.02827,46469,3.43892,114800
1.06,7.02827,46469,3.43892,114800
1.13,3.74786,34158,6.7419,101500
1.01,0.58357,49167,3.95137,144000
1.23,0,53725,1.73754,145300
1.06,36.12089,36701,9.21622,83000
1.06,36.12089,36701,9.21622,83000
1.06,6.45478,33510,10.94265,91800
1.06,3.98538,39203,6.24887,110900
1.12,3.98538,39203,6.24887,110900
0.85,6.32467,28729,16.19619,110200
1.02,25.2626,32635,15.96074,70500
1.06,25.2626,32635,15.96074,70500
0.89,13.80891,35998,11.1178,67100
0.95,13.80891,35998,11.1178,67100
1.06,10.64563,35488,10.88802,84600
1.02,10.64563,35488,10.88802,84600
1.02,10.64563,35488,10.88802,84600
1.06,10.64563,35488,10.88802,84600
1.09,60.73325,25671,28.38884,66900
1.06,60.73325,25671,28.38884,66900
1.22,60.73325,25671,28.38884,66900
1.22,60.73325,25671,28.38884,66900
1.23,60.73325,25671,28.38884,66900
1.05,16.0128,50279,5.93957,126700
0.95,6.92627,55949,2.89506,146500
1.2,11.1835,57672,1.60362,204000
1.06,1.46843,69594,2.05882,242900
0.95,6.57143,41157,8.37864,168900
1.02,6.57143,41157,8.37864,168900
1.02,6.57143,41157,8.37864,168900
1.06,6.57143,41157,8.37864,168900
1.06,56.95518,27295,20.96856,61900
0.93,7.34964,44598,3.36309,112100
1,7.34964,44598,3.36309,112100
1.06,7.34964,44598,3.36309,112100
1.09,1.90911,51548,3.84186,144700
1.06,1.90911,51548,3.84186,144700
1.04,1.90911,51548,3.84186,144700
1.04,36.88891,37285,11.53317,102600
1.02,36.88891,37285,11.53317,102600
1.06,7.26936,62684,2.97103,180200
1.02,7.26936,62684,2.97103,180200
1.02,13.62687,36633,15.49544,107900
1.04,13.62687,36633,15.49544,107900
1.06,0.24945,41129,4.53767,134000
1.09,0.24945,41129,4.53767,134000
1.23,0.45422,41525,4.56026,127300
1.06,8.62337,32104,7.18378,109400
1.06,0.13052,41759,3.49272,130400
1.09,0.60946,45907,3.80384,160300
1.2,0.60946,45907,3.80384,160300
1.06,0.60946,45907,3.80384,160300
1.06,0,63278,4.01401,311700
0.95,1.73525,29797,17.02234,146100
1.06,0.76008,46701,5.02619,143500
1.09,0.76008,46701,5.02619,143500
1.12,0.76008,46701,5.02619,143500
1.06,1.1629,52913,3.09036,165800
1.06,2.31497,63905,2.25605,188400
1.1,2.31497,63905,2.25605,188400
1.13,2.31497,63905,2.25605,188400
0.91,2.31497,63905,2.25605,188400
1.09,2.31497,63905,2.25605,188400
1.12,6.46623,51806,3.81158,161200
1.49,6.46623,51806,3.81158,161200
0.91,6.46623,51806,3.81158,161200
1.06,4.64232,65339,2.28436,230100
1.12,4.43038,50884,2.63239,156200
1.12,1.75085,51781,5.92482,174100
1.02,6.26876,56442,3.01999,171100
1.02,17.32801,56126,2.88357,169600
1.03,17.32801,56126,2.88357,169600
1.06,17.32801,56126,2.88357,169600
0.95,17.32801,56126,2.88357,169600
1.06,3.19995,55852,2.13687,166100
0.91,11.20184,33462,14.64824,126100
1.06,11.20184,33462,14.64824,126100
1.05,1.18853,38782,7.50053,108900
0.95,4.25708,51471,2.35555,153400
1.07,23.69736,60173,3.73703,164000
1.28,1.8886,44987,6.23847,136200
1.06,10.92738,57139,2.69086,177600
1.06,10.92738,57139,2.69086,177600
0.98,2.18909,43886,7.15815,122800
0.98,2.18909,43886,7.15815,122800
1.01,1.44756,36388,6.52374,87800
0.98,4.27765,37883,7.27119,104400
0.87,4.27765,37883,7.27119,104400
0.87,0.73235,42350,3.60799,111400
1.05,0.84183,50099,3.69217,141500
0.87,1.33469,38465,5.10291,98500
1.01,1.33469,38465,5.10291,98500
1.03,0.36328,35812,5.81477,105000
1.03,0,38844,8.87433,112300
0.94,15.3981,18963,34.04654,49300
0.91,15.3981,18963,34.04654,49300
0.98,3.43853,36871,8.21592,91000
1.01,3.43853,36871,8.21592,91000
0.87,3.43853,36871,8.21592,91000
0.98,3.43853,36871,8.21592,91000
1.01,3.43853,36871,8.21592,91000
0.87,1.1649,46197,3.21562,114100
1,0.26857,27960,12.16933,44200
0.95,0.1853,34384,8.77029,65700
0.89,0.21295,43847,3.46845,108900
0.89,0,27759,10.9913,55700
0.95,0,27759,10.9913,55700
0.89,1.06243,26355,18.32357,49300
0.89,2.16164,32218,14.57786,64500
0.94,0,30734,10.523,66400
0.95,0.283,30833,7.48924,69500
1.01,0.23693,29091,12.7441,52200
0.95,0,33696,8.49315,66600
1.05,0.89542,59721,0.4298,172700
1.05,1.03555,40831,4.29921,115700
0.97,1.03555,40831,4.29921,115700
0.94,0.08917,66147,1.1649,209900
0.95,0.94937,38788,5.04995,116300
0.95,0.7889,59286,2.4632,174100
0.94,3.70746,55759,2.63158,144800
1.05,5.44514,43570,5.02634,117600
0.94,1.66479,46296,5.04494,114500
1.05,1.45029,54084,9.28655,158700
1.05,5.77932,48141,3.81418,123100
0.84,5.77932,48141,3.81418,123100
1.05,0.92423,45772,3.41204,131200
1.05,4.42396,49038,1.42377,136400
0.97,2.67276,51489,4.22458,159400
1.04,5.23678,46886,4.0337,133100
1.05,5.23678,46886,4.0337,133100
0.97,1.15231,45160,3.08797,102500
0.73,2.21449,40648,4.13478,95800
1.03,0.84763,46705,3.4907,119800
0.94,6.18702,43047,4.46208,98700
0.97,12.10589,45763,3.59122,125100
1.01,12.10589,45763,3.59122,125100
0.91,18.55296,40370,7.07771,96300
0.95,18.55296,40370,7.07771,96300
0.92,18.55296,40370,7.07771,96300
1.05,18.55296,40370,7.07771,96300
0.9,3.93387,53087,2.37512,142200
1.05,3.93387,53087,2.37512,142200
0.94,0.55684,35453,6.6641,87200
1.13,3.02522,54252,2.51859,141400
1.11,3.02522,54252,2.51859,141400
0.97,4.75331,70037,1.98634,220800
0.95,5.68067,37830,6.5327,103000
1.05,3.38346,83379,3.66492,196300
0.97,2.24585,51025,2.757,141800
1.05,2.24585,51025,2.757,141800
0.91,2.24585,51025,2.757,141800
1.05,3.46725,42298,0.77434,102300
0.97,3.92693,46988,3.64045,121600
0.95,3.92693,46988,3.64045,121600
1.11,2.97277,54632,1.67543,154200
0.95,5.88402,40585,5.73621,98200
0.97,5.88402,40585,5.73621,98200
0.97,5.88402,40585,5.73621,98200
1.02,0.10225,37477,2.51025,118700
