narr86,pcnv,avgsen,tottime,ptime86,qemp86
0,0.38,17.6,35.2,12,0
2,0.44,0,0,0,1
1,0.33,22.8,22.8,0,0
2,0.25,0,0,5,2
1,0,0,0,0,2
0,1,0,0,0,4
2,0.44,0,0,0,0
5,0.75,0,0,0,0
0,0.33,10.9,21.8,9,0
0,0.23,0,0,0,3
1,0,0,0,0,4
0,0.17,31.7,63.4,12,0
0,0.33,0,0,0,4
0,0,0,0,0,0
1,0,0,0,0,4
0,0.2,59.2,59.2,3,1.7
1,0.38,0,0,0,0
0,0.5,0,0,0,4
0,0.6,7.9,23.7,0,0
0,0.5,0,0,0,4
3,0.47,5.6,22.4,0,0
1,0.17,4,4,0,2
0,0.22,6.9,20.7,0,4
0,0.47,31.9,31.9,12,0
0,0.36,18.7,37.4,0,0
0,0.4,0,0,2,0
0,0.33,0,0,0,2
0,0.5,0,0,0,0
0,0.33,6.3,25.2,12,0
0,0.2,0,0,0,3
2,0,0,0,0,1
0,1,0,0,0,0
1,0.4,0,0,5,0
0,0.33,36.1,36.1,0,4
2,0.67,0,0,0,1
0,1,0,0,0,3
0,0.33,0,0,12,0
0,0,0,0,0,4
2,0,0,0,1,2
1,0.43,0,0,0,1
0,0.5,0,0,0,0
0,0,0,0,0,0
3,0.39,11.3,11.3,0,3
0,0.5,0,0,0,0
3,0.44,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
2,0,0,0,0,0
0,0.57,0,0,0,4
2,0.41,0,0,0,1
1,0,0,0,0,4
0,0.1,0,0,0,4
0,1,0,0,0,4
1,0.83,0,0,0,1
1,0,0,0,0,4
0,0.33,0,0,8,0
0,0,0,0,0,4
0,0,0,0,0,0
0,0.5,0,0,0,0
0,0.33,0,0,12,0
1,0.33,0,0,0,0
0,0.6,6.2,6.2,0,0
1,0,0,0,0,1
0,1,0,0,0,2
1,0,0,0,0,0
1,0.33,12.9,25.8,6,0
0,0,0,0,0,4
0,1,11.8,35.4,12,0
0,0.5,5.6,5.6,0,4
1,0.5,0,0,0,4
3,0,0,0,0,0
3,0.5,0,0,0,0
0,1,0,0,0,2
0,0.25,0,0,0,1
1,1,0,0,0,2
1,0.33,0,0,0,1
0,0.43,0,0,0,0
0,0.25,0,0,0,4
0,0.2,0,0,0,0
0,0,0,0,0,4
2,0.54,5.5,11,0,3
1,0.5,0,0,0,1
0,0.75,0,0,0,0
2,0.09,0,0,0,0
0,0.17,0,0,0,4
1,0.2,0,0,0,3
0,0.43,0,0,0,2
0,0.25,0,0,0,4
0,0,20.3,20.3,0,3
2,0.33,0,0,0,1
2,0.45,9.5,9.5,0,4
1,0.29,0,0,0,4
0,0.4,0,0,12,0
0,0.67,0,0,0,0
0,0,0,0,0,4
2,0,0,0,0,1
5,0,0,0,0,3
1,0.38,0,0,0,4
5,0.27,0,0,0,1
0,0.4,0,0,0,0
2,0.5,0,0,0,4
1,0.6,0,0,0,0
0,1,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,0
1,0,0,0,0,2
0,0.57,18.4,36.8,2,1.8
0,1,0,0,0,1
0,0.5,0,0,0,3
0,0.5,0,0,0,0
0,0.33,18.4,18.4,0,0
0,0.33,0,0,0,0
0,0.5,0,0,0,4
0,0.5,11,11,0,0
0,0.2,0,0,0,4
0,0,0,0,0,4
1,0.63,8.9,8.9,7,0
0,0,0,0,0,0
1,0,0,0,2,2
2,0.29,21.7,21.7,0,2
0,0.25,24.6,49.2,0,1
0,1,0,0,0,1
2,0,0,0,0,1
2,0.14,13.4,13.4,0,1
0,0,18.4,18.4,0,1
0,0.5,0,0,0,4
0,0,0,0,0,4
0,0.33,0,0,0,2
0,1,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,4
0,0.75,0,0,0,4
0,0.83,7.8,31.2,0,2
0,0,0,0,0,1
1,0.31,0,0,0,0
2,0.5,0,0,0,1
1,0.5,0,0,0,0
0,0.5,0,0,0,0
1,1,0,0,0,2
0,0.25,18.5,18.5,11,0
0,0.67,0,0,0,2
0,0.67,0,0,0,1
3,0.33,11.9,11.9,0,0
0,0.17,10.9,10.9,9,0
0,0,0,0,0,0
1,0.33,0,0,0,0
0,0.5,0,0,0,0
0,0.33,0,0,0,1
0,0,0,0,0,3
0,0,0,0,0,4
0,0.25,9.1,9.1,12,0
0,0.5,0,0,0,4
2,0.42,6.7,6.7,3,0
0,0.57,14.4,14.4,0,4
0,1,0,0,0,4
0,0.4,10.6,21.2,12,0
0,0.5,0,0,0,4
0,1,0,0,0,4
0,1,0,0,0,0
0,0.33,0,0,0,0
0,0.5,0,0,0,3
2,0.83,0,0,0,2
0,0.25,0,0,0,1
0,0.5,0,0,12,0
0,0,0,0,0,4
0,0.8,0,0,0,0
0,0.67,0,0,0,4
4,1,21.8,43.6,0,2
1,0.5,0,0,0,2
0,0,0,0,0,4
2,0,0,0,0,0
1,1,0,0,0,3
0,0.33,0,0,0,3
0,0.67,11.4,11.4,0,4
1,0,0,0,0,4
0,0.67,0,0,0,0
1,0,0,0,0,4
2,0.4,0,0,0,2
0,0.33,0,0,0,4
0,0.5,0,0,0,4
0,0.5,0,0,0,0
0,0,0,0,0,3
1,0.29,0,0,0,0
3,0.5,0,0,0,3
0,0.22,0,0,0,3
0,0.13,12.7,38.1,12,0
0,0.33,0,0,0,2
0,0.4,0,0,0,4
0,0.2,0,0,0,1
0,0.33,14.2,14.2,0,4
1,1,0,0,0,0
1,0.5,0,0,0,4
0,1,0,0,0,4
0,1,0,0,0,0
0,0.5,0,0,0,4
0,0.67,10.7,21.4,0,4
1,0.71,0,0,0,4
0,1,0,0,0,0
0,0,0,0,0,0
0,0.33,0,0,0,1
0,0.4,0,0,0,4
0,1,0,0,0,4
1,0,0,0,0,3
0,1,0,0,0,4
0,0,0,0,0,2
1,0.8,0,0,0,3
0,1,0,0,0,4
1,0,0,0,0,4
1,1,0,0,0,4
0,1,0,0,0,2
3,0.33,0,0,0,4
0,0,0,0,0,4
0,0.5,0,0,0,0
0,0.6,0,0,12,0
2,0.33,0,0,0,4
1,0,0,0,0,0
1,0.33,0,0,0,0
0,1,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
1,0.4,0,0,0,2
2,0,19.3,19.3,0,3
0,0.44,10,20,0,4
0,0,0,0,0,4
0,0.43,22,22,0,3
0,1,0,0,0,2
1,0.33,9.7,19.4,0,2
0,0,0,0,0,2
1,0.44,0,0,0,4
0,0,0,0,0,0
0,1,0,0,0,4
0,0.2,0,0,0,4
0,1,0,0,0,0
0,0.17,0,0,0,0
1,0.33,6.1,12.2,0,1
2,0,0,0,0,3
1,0.33,0,0,0,2
2,1,0,0,0,4
0,0,0,0,0,1
0,0.43,0,0,12,0
0,0.62,0,0,0,0
3,1,0,0,0,2
0,1,0,0,0,4
0,0.5,0,0,0,3
0,0.4,14.8,29.6,0,4
0,0.5,0,0,0,3
0,0.57,0,0,0,3
0,0.33,0,0,0,0
1,0,0,0,0,0
0,0.33,0,0,0,3
0,1,0,0,0,0
0,0,0,0,0,1
0,1,0,0,0,0
0,1,0,0,0,1
0,0.57,0,0,0,0
0,0.33,0,0,0,1
0,0.5,0,0,0,4
1,0,0,0,0,3
1,0.22,13.7,13.7,0,0
0,0.6,0,0,12,0
2,0.5,0,0,0,2
0,0.8,15,30,7,0
1,0,0,0,0,3
3,0.5,0,0,0,1
0,0.29,0,0,0,4
0,0.5,0,0,0,2
1,0.44,12.4,12.4,2,1
0,0,0,0,0,4
0,0.5,0,0,0,3
0,0,0,0,0,0
0,0.5,0,0,0,4
1,0.38,0,0,0,0
0,0,0,0,0,4
0,0.5,0,0,12,0
0,0.3,0,0,0,1
0,0.5,0,0,0,0
0,0.4,0,0,0,0
0,0.67,0,0,0,4
0,0.33,8.6,8.6,0,3
0,1,0,0,0,4
0,1,0,0,0,4
0,1,0,0,0,1
0,0,0,0,0,2
1,0.33,0,0,0,4
0,0.08,0,0,0,0
0,0.38,9.6,9.6,6,1
0,0.67,0,0,0,4
0,1,0,0,0,4
1,0.6,0,0,0,4
1,1,0,0,0,2
0,0,0,0,0,4
0,0.5,0,0,0,1
0,0.4,0,0,0,1
0,0.75,0,0,0,4
0,1,0,0,0,4
0,0,0,0,0,1
0,0.5,0,0,0,3
0,0.57,0,0,0,0
0,0.25,0,0,0,4
0,0.5,0,0,0,4
0,1,0,0,0,3
0,0,0,0,0,0
0,0.29,0,0,11,0
0,0.5,0,0,0,2
0,1,0,0,0,4
0,0.17,0,0,0,3
0,0,0,0,0,4
4,0.36,0,0,3,0
0,0.5,0,0,0,3
0,0.5,0,0,0,3
0,0.29,0,0,0,4
2,0.5,0,0,0,3
0,0.33,0,0,0,4
0,1,0,0,0,4
1,0.67,0,0,0,1
0,0.5,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,4
0,0.67,0,0,0,4
0,0.5,0,0,0,1
0,0,0,0,0,4
0,0.36,0,0,0,2
0,0.11,0,0,0,3
0,0.5,15.7,15.7,0,3
0,0.25,0,0,0,4
0,0.33,11.7,11.7,2,3.4
0,0.33,0,0,0,3
0,0,0,0,0,4
0,0.42,0,0,0,0
0,0.5,0,0,0,4
0,0,0,0,0,2
0,0,0,0,0,4
2,0.25,0,0,0,3
0,0,0,0,12,0
1,0.5,0,0,0,2
0,0.33,0,0,0,0
0,0.6,0,0,0,4
2,0,0,0,0,0
0,0.33,0,0,0,2
1,1,0,0,0,3
0,1,0,0,0,0
0,0,0,0,0,3
1,0.2,0,0,0,4
1,0,0,0,0,1
0,1,0,0,0,4
0,0.54,7.1,21.3,12,0
0,0.33,0,0,0,1
0,0,0,0,0,4
0,0.5,0,0,0,4
2,0,0,0,0,4
0,1,0,0,0,4
1,1,0,0,0,4
2,0.75,16.1,16.1,1,0
0,0,0,0,0,4
0,1,0,0,0,2
2,0.5,0,0,0,1
0,0.33,0,0,0,4
0,0.6,0,0,0,3
0,0,0,0,0,4
0,0.5,0,0,0,3
1,0,0,0,0,1
0,0.56,0,0,0,4
0,0,0,0,0,4
2,0.57,0,0,4,0
0,0.33,0,0,0,4
1,0.6,11.8,11.8,0,2
0,1,0,0,0,1
3,0.5,0,0,0,0
2,0.75,0,0,0,0
0,0.67,0,0,12,0
0,0.25,0,0,12,0
3,1,0,0,0,1
0,1,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,4
0,0.5,17.7,35.4,2,0
0,0.5,0,0,0,4
0,1,0,0,0,4
0,0,0,0,0,0
0,1,0,0,0,4
0,0,0,0,0,4
1,1,0,0,0,3
0,0,0,0,0,4
0,1,0,0,0,4
0,0,0,0,0,4
3,0.38,16,32,2,1
0,1,0,0,0,4
0,1,0,0,0,2
0,0,0,0,0,2
0,0.44,0,0,0,2
0,0.25,0,0,0,0
0,0,0,0,0,4
0,0,0,0,0,4
0,0.38,40.5,40.5,11,0
0,0.5,0,0,0,3
0,0.5,0,0,0,3
0,1,0,0,0,4
1,0.5,18.9,18.9,0,2
0,0.5,0,0,0,1
1,0.38,0,0,0,0
0,0,0,0,0,3
0,0,0,0,0,2
0,0,0,0,0,4
0,0.6,0,0,0,2
2,0,12.1,24.2,0,2
0,0.31,4,4,0,0
0,0.33,0,0,0,4
0,1,0,0,0,2
0,0,0,0,0,0
1,1,0,0,0,3
2,0.2,0,0,0,2
0,0.33,0,0,0,4
0,0.4,3.5,7,0,0
0,0.33,0,0,0,1
0,1,0,0,0,4
0,0,0,0,0,3
0,0.67,0,0,0,3
1,0.33,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0.5,0,0,0,3
0,0.64,12.5,12.5,12,0
0,0,0,0,0,4
0,0.33,47.1,47.1,12,0
0,1,0,0,0,2
0,1,0,0,0,4
0,0.75,0,0,0,2
1,0,0,0,0,0
0,0.25,0,0,0,4
0,0.67,0,0,0,4
0,1,0,0,0,3
0,0.33,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,4
1,0.2,0,0,0,4
0,0.25,0,0,0,0
0,1,0,0,0,2
0,0.4,0,0,0,0
0,1,0,0,0,4
1,0.57,0,0,0,0
0,1,0,0,0,2
0,0,0,0,0,0
0,1,0,0,0,3
0,0,0,0,0,4
0,0.67,0,0,0,0
1,0.6,8.3,8.3,0,3
0,0.5,0,0,0,4
0,1,0,0,0,3
0,1,0,0,0,4
0,0.14,0,0,0,0
0,1,0,0,0,4
0,0.5,0,0,0,2
0,0.5,0,0,0,1
1,0.2,0,0,0,0
0,1,0,0,0,0
0,0.43,0,0,0,0
1,0.3,5.6,11.2,6,1
0,0,0,0,0,4
0,0,0,0,0,1
0,1,0,0,0,4
0,0.67,0,0,0,2
0,0,0,0,0,2
1,0.5,0,0,0,0
0,0.67,0,0,0,4
0,0.67,7.1,7.1,0,0
0,1,0,0,0,2
0,0,0,0,0,3
2,1,0,0,0,1
1,0.29,0,0,0,0
0,1,0,0,0,3
0,1,0,0,0,2
1,0.5,0,0,0,4
0,0,0,0,0,1
0,0.4,0,0,0,4
2,0.2,0,0,0,0
0,0.4,0,0,0,0
0,0,0,0,0,4
0,1,0,0,0,1
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,1
0,0,0,0,0,4
0,0,0,0,0,0
1,0.33,0,0,0,2
0,1,0,0,0,1
0,0,0,0,0,2
0,0.42,0,0,0,1
0,0.25,0,0,0,2
0,0.33,9.9,9.9,0,4
1,0,39,39,0,2
0,1,0,0,0,0
0,0,0,0,0,2
0,0,0,0,0,0
0,0.5,0,0,0,0
0,0.57,9.7,29.1,12,0
0,0.33,0,0,0,2
0,1,0,0,0,4
0,0.5,0,0,0,4
1,0.67,0,0,0,4
2,0,0,0,0,1
0,0.25,0,0,0,1
3,0.42,0,0,0,0
0,0.64,0,0,0,4
1,0.56,0,0,0,0
0,0.5,0,0,0,2
0,1,0,0,0,0
0,0.43,0,0,0,3
0,0.5,0,0,0,4
0,0.33,0,0,0,1
1,0,0,0,0,4
1,0.75,0,0,0,4
1,0,0,0,0,0
1,0.2,11.9,11.9,0,0
0,0.67,0,0,0,2
0,0,0,0,0,4
0,1,0,0,0,0
0,1,0,0,0,4
1,0.5,0,0,0,1
1,1,0,0,0,4
0,0,0,0,0,0
0,0,0,0,0,3
2,0.63,0,0,0,0
1,1,0,0,0,2
0,1,0,0,0,4
0,1,0,0,0,0
0,0.5,0,0,0,4
0,0,0,0,0,3
0,1,0,0,0,4
1,0.4,0,0,0,0
1,0.5,0,0,0,2
0,0.33,4.3,12.9,0,0
0,0.2,0,0,0,0
0,1,0,0,0,4
1,0.25,13.3,13.3,1,0
1,1,0,0,0,0
0,1,0,0,0,4
0,0.33,0,0,0,1
1,0.33,0,0,0,1
1,0,0,0,0,2
2,0,0,0,0,4
2,0.17,0,0,0,0
1,0.67,0,0,0,1
0,0,0,0,0,0
0,1,0,0,0,4
0,0.5,0,0,0,0
0,0.5,0,0,0,3
0,1,0,0,0,4
0,0.29,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,2
0,0.25,0,0,0,0
1,0.14,0,0,0,0
0,1,0,0,0,4
0,0.5,0,0,0,4
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,4
1,0,0,0,0,3
0,0.5,0,0,0,4
1,0.6,0,0,0,2
0,0,0,0,0,3
2,0.8,0,0,0,2
0,0.63,5.5,5.5,0,4
0,0,0,0,0,3
0,1,0,0,0,2
0,0,0,0,0,3
0,1,0,0,0,4
1,0.25,0,0,0,0
1,0,0,0,0,4
0,0,0,0,0,3
0,0.5,0,0,0,1
0,1,0,0,0,1
0,0,0,0,0,4
0,0.4,0,0,0,3
0,0,0,0,0,4
0,0,0,0,0,4
0,0.67,0,0,0,4
0,0.25,0,0,0,0
0,0.5,0,0,0,3
1,1,0,0,0,1
2,0.29,0,0,2,1
0,1,0,0,0,4
0,0,0,0,0,2
0,0.4,0,0,0,1
0,1,0,0,0,4
0,1,0,0,0,3
5,0,0,0,0,0
3,0.38,0,0,0,2
0,1,0,0,0,0
0,0,0,0,0,0
2,0.42,0,0,2,0
0,0.5,0,0,0,4
0,0.29,0,0,0,1
0,0.17,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,0
0,0,0,0,0,4
2,0.36,0,0,0,1
0,0,0,0,0,4
0,0.67,0,0,0,4
0,0,0,0,0,2
0,0,0,0,0,0
4,0.25,20.6,41.2,2,0
0,0.38,0,0,0,1
0,0,0,0,0,4
0,0,0,0,0,0
0,0.5,0,0,0,0
1,0,0,0,0,4
0,1,0,0,0,4
0,0,0,0,0,2
0,0.5,0,0,0,2
1,0.56,0,0,0,0
0,0.5,0,0,0,4
0,0,0,0,0,3
0,0.25,0,0,0,4
0,0,0,0,0,4
0,0.5,0,0,0,4
0,0,0,0,0,3
0,0.5,0,0,12,0
0,0,0,0,0,4
0,0.5,0,0,0,0
0,1,17,17,0,4
3,0.63,7.1,14.2,4,1
0,1,0,0,0,3
0,0,0,0,0,2
0,0,0,0,0,4
0,0.4,8.1,8.1,0,3
0,0.5,4.9,14.7,12,0
0,0.5,0,0,0,4
1,0.75,0,0,0,1
0,0,0,0,0,4
0,1,0,0,0,4
0,0.67,0,0,0,2
0,0,0,0,0,0
1,0,0,0,0,0
0,0.43,0.9,0.9,0,4
0,0.29,0,0,0,3
0,0.5,9,18,0,4
0,0,0,0,0,4
12,0.29,0,0,0,1
0,0,0,0,0,3
1,1,0,0,0,2
3,0.36,1.1,1.1,0,0
0,0.33,0,0,0,4
0,0.5,0,0,0,4
2,0.4,0,0,0,0
0,0.33,0,0,0,1
1,1,0,0,0,2
2,0,0,0,0,0
0,0,0,0,0,1
0,1,0,0,0,3
1,0.67,0,0,0,0
1,0.36,11.6,11.6,0,2
0,1,0,0,0,3
0,0,0,0,0,4
1,0.38,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0.33,0,0,0,2
0,1,0,0,0,3
1,0.17,0,0,0,4
2,0.6,2.6,2.6,0,0
0,0.67,0,0,0,1
0,0,0,0,0,4
0,0,0,0,0,0
0,0,0,0,0,0
0,0.53,0,0,0,0
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,0
0,0.67,0,0,0,1
0,0.67,0,0,0,2
0,1,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,4
0,0.5,0,0,0,3
0,0.25,0,0,0,3
0,1,0,0,0,2
0,0,0,0,0,2
1,0.29,0,0,0,1
1,0.33,0,0,0,4
0,0.33,0,0,0,3
0,0,0,0,0,4
1,0.33,0,0,5,0
0,0.5,0,0,0,0
0,0,0,0,0,4
0,0.5,0,0,0,3
1,0.5,0,0,0,4
0,0,0,0,0,0
0,0.5,0,0,0,3
0,0.5,0,0,0,4
0,0.33,0,0,0,2
0,0.56,0,0,0,0
0,0.14,0,0,0,3
1,0.67,0,0,0,0
0,0,11.1,11.1,0,1
0,0.5,0,0,0,2
0,1,0,0,0,4
0,0.33,0,0,0,1
2,0.4,0,0,7,1
0,1,0,0,0,0
2,0.27,0,0,0,3
9,0.5,0,0,0,1
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,1,0,0,0,4
0,1,0,0,0,3
0,0.5,11.6,23.2,0,0
1,1,0,0,0,4
0,0,0,0,0,3
0,0.67,0,0,0,2
0,0.33,0,0,0,4
0,1,0,0,0,4
5,0.45,0,0,1,0
3,0.4,0,0,0,4
0,0,0,0,0,4
1,0.5,0,0,0,2
0,1,0,0,0,4
0,0,0,0,0,3
0,0,0,0,0,3
2,0.5,0,0,0,3
1,0.5,0,0,2,0
0,1,0,0,0,0
0,0,0,0,0,4
1,0.5,0,0,0,3
0,0.38,0,0,0,0
0,0,0,0,0,0
1,0.67,23.5,23.5,0,3
0,0.43,6.1,12.2,0,0
1,0.4,0,0,0,0
1,0.4,0,0,0,0
1,1,0,0,0,1
0,0.4,0,0,0,3
0,0.5,0,0,0,4
1,1,0,0,0,4
0,0.57,0,0,0,3
0,0,0,0,0,2
2,0.29,0,0,0,1
0,0.33,12.2,12.2,0,4
0,0.5,0,0,0,3
0,0,0,0,0,3
0,0.33,0,0,0,4
0,0,0,0,0,2
0,0.5,0,0,0,4
0,0.67,0,0,0,3
0,0.32,7.2,7.2,4,0
1,0.67,8.6,8.6,3,1
0,0,30.4,30.4,0,0
0,0.5,0,0,0,0
0,1,0,0,0,1
0,1,0,0,0,0
1,0,0,0,0,4
0,1,0,0,0,3
0,0.29,0,0,0,1
1,0.4,0,0,3,0
0,0.23,0,0,12,0
0,0.5,0,0,0,4
1,0.6,0,0,6,2
0,0,0,0,0,2
0,1,0,0,0,4
0,0,0,0,0,2
0,1,0,0,0,2
0,0.5,0,0,0,3
0,0.5,0,0,0,0
2,0.29,0,0,0,1
0,1,0,0,0,4
0,0,0,0,0,0
0,0,0,0,0,4
0,0.5,0,0,0,4
0,0,0,0,0,0
0,0.5,0,0,0,3
0,0.5,0,0,0,0
0,0.67,0,0,0,4
0,1,0,0,0,0
0,1,0,0,0,4
0,0,0,0,0,0
0,1,0,0,0,2
0,1,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,4
0,0.5,0,0,0,0
0,0,0,0,0,2
0,0.6,0,0,0,3
0,0.33,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,4
1,0.5,0,0,0,0
1,0.5,0,0,0,0
0,0,0,0,0,2
0,0.25,0,0,0,0
1,0.33,0,0,0,0
1,0.5,0,0,0,1
0,0,0,0,0,4
0,0.75,0,0,0,1
0,0,0,0,0,2
0,0.67,0,0,12,0
2,0,0,0,0,2
1,0.44,0,0,0,0
0,0.29,0,0,0,3
0,1,0,0,0,3
1,0,0,0,0,3
0,0,0,0,0,1
0,0.5,0,0,0,1
1,0.2,0,0,0,1
0,0,0,0,0,2
0,0.8,8.2,8.2,0,2
0,1,0,0,0,0
0,1,0.8,0.8,0,3
6,0.25,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,4
0,0.5,0,0,0,4
0,0,0,0,0,3
0,1,0,0,0,1
0,0.33,0,0,0,4
0,0.75,0,0,0,0
0,1,0,0,0,2
0,0.7,11.9,11.9,0,4
1,0,24.6,24.6,0,0
0,0.5,0,0,0,2
0,0.5,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,3
0,0,0,0,0,4
0,1,0,0,0,0
0,0,0,0,0,3
0,0,0,0,0,4
0,0,0,0,0,2
0,0,0,0,0,4
0,0,0,0,0,4
0,0.18,0,0,0,1
0,0.2,0,0,0,3
0,0.33,0,0,0,1
0,0,0,0,0,4
0,0.4,0,0,0,4
0,0,0,0,0,4
2,0.38,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,1
0,0.5,2.3,2.3,0,2
0,0.4,0,0,0,2
0,1,0,0,0,4
