prcfat,t,wkends,spdlaw,beltlaw,unem,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
0.9009899,1,14,0,0,7.9,0,0,0,0,0,0,0,0,0,0,0
0.9130266,2,12,0,0,8,1,0,0,0,0,0,0,0,0,0,0
0.914997,3,13,0,0,7.4,0,1,0,0,0,0,0,0,0,0,0
0.9788058,4,12,0,0,7.2,0,0,1,0,0,0,0,0,0,0,0
0.9145713,5,15,0,0,6.1,0,0,0,1,0,0,0,0,0,0,0
1.084833,6,12,0,0,6.7,0,0,0,0,1,0,0,0,0,0,0
1.216828,7,13,0,0,7.4,0,0,0,0,0,1,0,0,0,0,0
1.178583,8,14,0,0,6.9,0,0,0,0,0,0,1,0,0,0,0
1.045443,9,12,0,0,7,0,0,0,0,0,0,0,1,0,0,0
0.9858393,10,14,0,0,7.6,0,0,0,0,0,0,0,0,1,0,0
0.9065444,11,13,0,0,7.8,0,0,0,0,0,0,0,0,0,1,0
0.9009916,12,12,0,0,8.6,0,0,0,0,0,0,0,0,0,0,1
0.7580715,13,15,0,0,9.4,0,0,0,0,0,0,0,0,0,0,0
0.8226551,14,12,0,0,9.6,1,0,0,0,0,0,0,0,0,0,0
0.8405397,15,12,0,0,9.7,0,1,0,0,0,0,0,0,0,0,0
0.9271705,16,13,0,0,9.4,0,0,1,0,0,0,0,0,0,0,0
0.9021532,17,14,0,0,9,0,0,0,1,0,0,0,0,0,0,0
1.007339,18,12,0,0,9.4,0,0,0,0,1,0,0,0,0,0,0
0.9769335,19,14,0,0,10.7,0,0,0,0,0,1,0,0,0,0,0
1.022489,20,13,0,0,10.2,0,0,0,0,0,0,1,0,0,0,0
1.070914,21,12,0,0,9.7,0,0,0,0,0,0,0,1,0,0,0
1.011312,22,15,0,0,10.3,0,0,0,0,0,0,0,0,1,0,0
0.8611324,23,12,0,0,11,0,0,0,0,0,0,0,0,0,1,0
0.8557043,24,13,0,0,11,0,0,0,0,0,0,0,0,0,0,1
0.7311631,25,14,0,0,11.7,0,0,0,0,0,0,0,0,0,0,0
0.7409264,26,12,0,0,11.9,1,0,0,0,0,0,0,0,0,0,0
0.7632453,27,12,0,0,10.9,0,1,0,0,0,0,0,0,0,0,0
0.8699968,28,14,0,0,9.9,0,0,1,0,0,0,0,0,0,0,0
0.9878502,29,13,0,0,9.9,0,0,0,1,0,0,0,0,0,0,0
0.9272842,30,12,0,0,10.1,0,0,0,0,1,0,0,0,0,0,0
1.001442,31,15,0,0,9.5,0,0,0,0,0,1,0,0,0,0,0
1.028812,32,14,0,0,9.5,0,0,0,0,0,0,1,0,0,0,0
1.006516,33,13,0,0,8.3,0,0,0,0,0,0,0,1,0,0,0
0.8803432,34,14,0,0,8.1,0,0,0,0,0,0,0,0,1,0,0
0.7882747,35,12,0,0,8.2,0,0,0,0,0,0,0,0,0,1,0
0.8001288,36,14,0,0,8,0,0,0,0,0,0,0,0,0,0,1
0.9080075,37,13,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0
0.8803067,38,12,0,0,8.8,1,0,0,0,0,0,0,0,0,0,0
0.9016372,39,14,0,0,8.6,0,1,0,0,0,0,0,0,0,0,0
0.9151502,40,13,0,0,7.7,0,0,1,0,0,0,0,0,0,0,0
0.9444417,41,12,0,0,7.2,0,0,0,1,0,0,0,0,0,0,0
1.00368,42,14,0,0,7.4,0,0,0,0,1,0,0,0,0,0,0
1.050321,43,13,0,0,8.4,0,0,0,0,0,1,0,0,0,0,0
0.9737541,44,13,0,0,7.5,0,0,0,0,0,0,1,0,0,0,0
1.032498,45,14,0,0,7.5,0,0,0,0,0,0,0,1,0,0,0
0.903367,46,12,0,0,7,0,0,0,0,0,0,0,0,1,0,0
0.7728841,47,13,0,0,7.1,0,0,0,0,0,0,0,0,0,1,0
0.8023099,48,14,0,0,6.9,0,0,0,0,0,0,0,0,0,0,1
0.8229388,49,12,0,0,8,0,0,0,0,0,0,0,0,0,0,0
0.8364408,50,12,0,0,7.4,1,0,0,0,0,0,0,0,0,0,0
0.8181062,51,15,0,0,7.3,0,1,0,0,0,0,0,0,0,0,0
0.8873438,52,12,0,0,7.3,0,0,1,0,0,0,0,0,0,0,0
0.8661994,53,13,0,0,6.6,0,0,0,1,0,0,0,0,0,0,0
0.9474428,54,14,0,0,7.6,0,0,0,0,1,0,0,0,0,0,0
0.9219049,55,12,0,0,7.7,0,0,0,0,0,1,0,0,0,0,0
0.9248369,56,14,0,0,7.3,0,0,0,0,0,0,1,0,0,0,0
0.8304765,57,13,0,0,7,0,0,0,0,0,0,0,1,0,0,0
0.8666772,58,12,0,0,7.2,0,0,0,0,0,0,0,0,1,0,0
0.7297521,59,14,0,0,6.6,0,0,0,0,0,0,0,0,0,1,0
0.7834257,60,13,0,0,6.3,0,0,0,0,0,0,0,0,0,0,1
0.7789164,61,13,0,1,6.6,0,0,0,0,0,0,0,0,0,0,0
0.7172716,62,12,0,1,7.7,1,0,0,0,0,0,0,0,0,0,0
0.7171957,63,14,0,1,7.1,0,1,0,0,0,0,0,0,0,0,0
0.7016841,64,12,0,1,6.7,0,0,1,0,0,0,0,0,0,0,0
0.8284757,65,14,0,1,6.1,0,0,0,1,0,0,0,0,0,0,0
0.8738053,66,13,0,1,6.5,0,0,0,0,1,0,0,0,0,0,0
0.8461891,67,12,0,1,7.5,0,0,0,0,0,1,0,0,0,0,0
0.9467047,68,15,0,1,6.7,0,0,0,0,0,0,1,0,0,0,0
0.901859,69,12,0,1,6.2,0,0,0,0,0,0,0,1,0,0,0
0.936257,70,13,0,1,6.2,0,0,0,0,0,0,0,0,1,0,0
0.8430016,71,14,0,1,6.5,0,0,0,0,0,0,0,0,0,1,0
0.7321052,72,12,0,1,6.3,0,0,0,0,0,0,0,0,0,0,1
0.7861288,73,14,0,1,6.9,0,0,0,0,0,0,0,0,0,0,0
0.7358418,74,12,0,1,6.7,1,0,0,0,0,0,0,0,0,0,0
0.7742642,75,13,0,1,6.3,0,1,0,0,0,0,0,0,0,0,0
0.8773477,76,12,0,1,5.8,0,0,1,0,0,0,0,0,0,0,0
0.8943746,77,15,1,1,5.6,0,0,0,1,0,0,0,0,0,0,0
0.8579317,78,12,1,1,5.4,0,0,0,0,1,0,0,0,0,0,0
0.8797054,79,13,1,1,6,0,0,0,0,0,1,0,0,0,0,0
1.033976,80,14,1,1,5.4,0,0,0,0,0,0,1,0,0,0,0
0.998546,81,12,1,1,5.5,0,0,0,0,0,0,0,1,0,0,0
0.8255934,82,14,1,1,5.6,0,0,0,0,0,0,0,0,1,0,0
0.8313563,83,13,1,1,5.1,0,0,0,0,0,0,0,0,0,1,0
0.7876897,84,12,1,1,4.9,0,0,0,0,0,0,0,0,0,0,1
0.7643049,85,15,1,1,5.6,0,0,0,0,0,0,0,0,0,0,0
0.7937067,86,12,1,1,5.8,1,0,0,0,0,0,0,0,0,0,0
0.8292704,87,12,1,1,5.3,0,1,0,0,0,0,0,0,0,0,0
0.8382443,88,14,1,1,5,0,0,1,0,0,0,0,0,0,0,0
0.840099,89,13,1,1,5.8,0,0,0,1,0,0,0,0,0,0,0
0.7699206,90,12,1,1,5.4,0,0,0,0,1,0,0,0,0,0,0
0.9308538,91,15,1,1,5.9,0,0,0,0,0,1,0,0,0,0,0
0.9609319,92,12,1,1,5.6,0,0,0,0,0,0,1,0,0,0,0
0.9393862,93,13,1,1,5,0,0,0,0,0,0,0,1,0,0,0
0.9462286,94,14,1,1,4.8,0,0,0,0,0,0,0,0,1,0,0
0.8425595,95,12,1,1,5.1,0,0,0,0,0,0,0,0,0,1,0
0.8608484,96,14,1,1,4.3,0,0,0,0,0,0,0,0,0,0,1
0.8344536,97,13,1,1,5.4,0,0,0,0,0,0,0,0,0,0,0
0.8122424,98,12,1,1,5.5,1,0,0,0,0,0,0,0,0,0,0
0.735634,99,13,1,1,4.7,0,1,0,0,0,0,0,0,0,0,0
0.8502912,100,14,1,1,5.1,0,0,1,0,0,0,0,0,0,0,0
0.8788491,101,12,1,1,5.2,0,0,0,1,0,0,0,0,0,0,0
0.788318,102,13,1,1,5.5,0,0,0,0,1,0,0,0,0,0,0
1.023206,103,14,1,1,5.8,0,0,0,0,0,1,0,0,0,0,0
0.9798468,104,12,1,1,4.7,0,0,0,0,0,0,1,0,0,0,0
0.9471751,105,14,1,1,5,0,0,0,0,0,0,0,1,0,0,0
0.8669214,106,13,1,1,4.6,0,0,0,0,0,0,0,0,1,0,0
0.8254987,107,12,1,1,4.9,0,0,0,0,0,0,0,0,0,1,0
0.8359611,108,15,1,1,4.8,0,0,0,0,0,0,0,0,0,0,1
